phase_id,phase,mode,writes_allowed,preconditions,action,exit_gate,rollback
IA-I0,Integration authorization gate,no-op until authorized,No,Roadmap at approved Internal Alpha item; explicit owner authorization; current repos/bootstrap/roadmap refreshed; package hashes verified,"Verify package, current schemas/storage, A8 and Economy authorities, feature flags default-off, and source baselines.",All preconditions recorded; zero production data changed.,Not applicable.
IA-I1,Snapshot and migration audit foundation,additive infrastructure,Audit only,IA-I0 pass,"Snapshot/export current item catalogs and relevant persistence; record row counts, stable IDs, source hashes, schema version and feature state; create migration audit storage.",Restore-tested snapshot and immutable pre-migration fingerprint.,Remove audit scaffolding only after evidence export; canonical data untouched.
IA-I2,Deploy dormant additive item metadata schema,feature disabled,New empty structures only,IA-I1 pass,"Create additive tables/collections/indices for assertions, product graph, creator/origin, coverage, exceptions, and integration links; all links nullable/non-required.",Existing application tests/behavior unchanged with feature disabled.,Drop only new empty structures if necessary.
IA-I3,Seed controlled registries and profile library,feature disabled,Prepared registry seed data,IA-I2 pass,"Seed item taxonomy, setting facets, assertion/compatibility states, product/variant registries, creator/origin types, 35 coverage domains, 28 profiles, 980 qualitative expectations, importance/satisfaction modes.",Stable-ID and registry-reference validators pass; seeds idempotent.,Delete/retire only registry rows created by migration batch.
IA-I4,Shadow current-catalog projection,read-only shadow,Derived projection only,IA-I3 pass,"Project all 5,389 current records into future metadata structures using current crosswalks; preserve source rows and source-row refs.",Counts/hashes/source IDs preserved; unresolved mappings remain review-required; no canonical IDs invented.,Delete derived projection batch.
IA-I5,Import source provenance and recovered concepts,review-only,Derived evidence/work queues,IA-I4 pass,"Load PDF/page evidence, 1,050 current-linked source occurrences, 55 recovered Armor/Materials source concepts, and 54 missing future build seeds.",Source mechanics flagged non-authoritative; Tactical Vest remains current-linked not duplicate seed; raster-source evidence retains render provenance.,Delete imported derived evidence/work queue; source archives untouched.
IA-I6,Shadow validators and behavior-diff reports,no user-visible change,Reports only,IA-I5 pass,Run full validator registry against projections and compare current catalog/search/runtime behavior with feature disabled.,No critical failures; no unintended current-behavior diff.,Disable validators and remove derived reports.
IA-I7,Governed taxonomy and facet adoption,read path behind flag,Reviewed metadata only,IA-I6 pass,Approve selected intrinsic taxonomy and affinity/requirement assertions; keep domain-native mechanics and source genre/technology strings intact.,Intrinsic/affinity distinction correct; All Genres not stored as genre; unresolved values still unresolved.,Disable read surfaces; revoke/soft-retire approval batch; preserve audit.
IA-I8,"Product, creator, brand and origin adoption",read path behind flag,Reviewed metadata only,IA-I7 pass,Adopt reviewed generic/product/family/model/variant relationships and evidence-backed creator/brand/origin assertions.,No automatic name merges; generic items may have no creator; shared creator identities do not duplicate platform identities.,Disable surfaces; soft-retire relationships/assertions by batch.
IA-I9,Compatibility inference activation,derived read path,Derived evaluation only,IA-I8 pass; setting profile interface available,Evaluate existence/operational/rules/contextual compatibility from intrinsic requirements + setting profile + governed exceptions; do not materialize tag explosions.,Exception precedence and explainability validators pass; unknown remains valid.,Disable evaluator/cache; derived cache may be deleted and recomputed.
IA-I10,Coverage profiles and read-only coverage surfaces,analysis/read path,Derived evaluation and approved profile applications,IA-I9 pass,Enable composable coverage-profile application/evaluation and analyzer surfaces; support non-item satisfaction assertions.,No quotas introduced; strongest expectation wins; zero-evidence cells remain review signals only.,Disable surfaces; preserve approved profile decisions/audit; delete recomputable analysis outputs.
IA-I11,Governed content enrichment and re-mechanization,authoring behind review gate,Approved metadata/new content revisions only,IA-I10 stable; current mechanics anchors verified,"Process 5,443 work items: enrich/audit 5,389 current records preserving mechanics by default; build 54 missing Armor/Materials concepts under current rules.","Every published change passes domain mechanics, provenance, balance/economy, taxonomy and publication gates.",Unpublish/revert only governed revisions/new concepts; retained source evidence is never deleted.
IA-I12,A8 definition-link integration,runtime integration boundary,Definition links/snapshots only,IA-I11 stable; A8 current contract refreshed,"Connect governed item/product definitions to A8 Asset Definition snapshot/instantiation flow; A8 remains sole owner of item instances, ownership, custody, equipment, quantity, condition, damage/repair and transformations.",A8 save/load/offline/import/export/ownership/equipment regressions pass; no duplicate instance model exists.,Disable item-v2 definition linking; preserve A8 instances/readability and export paths.
IA-I13,Legacy-field deprecation review,optional future cleanup,No destructive removal by default,Sustained IA evidence and explicit owner approval,"Decide whether old Genre/Tier/Origin/display fields remain indefinitely, become derived aliases, or are deprecated.",No provenance/source loss; migrations remain reversible; domain-native mechanics retained.,Keep legacy/current fields; this phase may be skipped permanently.
