structural_candidate_id,logical_source_id,source_file_id,logical_page,physical_page,heading_text
candidate.9fb6d79ef6ab376976,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,24,24,Gualuaren that went too far Demons are called zanuala. Fire people
candidate.c36e9f06184ccfc83a,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,48,48,Centipede Dragonfly
candidate.402981a04300ff9dac,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,80,80,3.3 The Dragonsa: Masters of Serpent Realitycraft
candidate.85b00b19af510f4a2d,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,120,120,Skybeast Attacks Predatory raids from the abyss or high-
candidate.cb9dab217359d6d52d,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,136,136,2. Skybeasts
candidate.c1502a38b059a55436,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,316,316,Monstrous Chaos Demons
candidate.c3a945f612d39cc95b,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,319,319,Monstrous Chaos Demons
candidate.e0e1cbafae468d74f6,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,320,320,🤝 Chaos-Demon-Player Interactions
candidate.fd6294d23eda1db46b,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,395,395,🧬 Sample Creatures
candidate.f0905e57afe57d8f7d,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,397,397,🧬 Sample Creatures
candidate.a12d3007402dfeb457,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,404,404,🧬 Sample Creatures
candidate.e5f9bd092b32f38456,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,411,411,🧬 Sample Creatures
candidate.10493a6a9e02158408,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,582,582,A. Types of WarBeasts
candidate.a45a015aade196edc4,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,45,45,3. Rift-Touched Animals (Optional)
candidate.e04cc6da318843507b,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,245,245,1. Hostile Creatures:
candidate.2d1184ee7e926d6d04,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,251,251,1. Hostile Creatures:
candidate.c891417b0918c70783,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,382,382,3. The Beast Below:
candidate.46a10dd0d05d10f696,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,461,461,"11 A large beast or monster, like a dire"
candidate.c0adc72924662f4cbb,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,468,468,4. Beast Tamer
candidate.b6c888d5b2c282cd00,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,604,604,🐘 Gladejaw Crasher CR: 6 Size: Huge Beast Alignment: Neutral
candidate.2d8542824171c04730,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,616,616,🦖 Ossivine Terrorclaw CR: 14 Size: Huge Beast (Vine-Bone Hybrid) Alignment: Chaotic Evil
candidate.0ff7211347716662bc,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,631,631,Skoaltarran Creatures ❄️ Ice Shelf Territories
candidate.8a4bc0074c83fc0359,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,659,659,Divine Creatures 🜂 Divine Creatures
candidate.0332f17f839882e3ea,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,684,684,Dragons 🐉 Dragons of the Multiverse
candidate.d4c4893191c1e1b7ce,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,705,705,Arcane-Born Dragons List
candidate.e6c44f503d29b3055d,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,724,724,2. Dragon Form
candidate.b322ae0b64753aa231,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,732,732,Chromatic Dragons List
candidate.8f61f0e51e6f2e0558,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,733,733,🐲 Adult Black Dragon • CR: 11
candidate.8012ca9715b86462a7,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,735,735,🐲 Adult White Dragon
candidate.8bd25bcd8a3d997b33,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,737,737,🐉 Juvenile Red Dragon • CR: 6
candidate.79a805af9a09426eb6,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,739,739,🐉 Juvenile Blue Dragon
candidate.2a756db5a0ff7e823b,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,740,740,🧠 Ancient Blue Dragon
candidate.ab8195af5578d17ec5,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,742,742,🛡 Elder Green Dragon
candidate.4a9d7ce164594d43d9,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,744,744,🐲 Adult Yellow Dragon
