record_route,required_dimensions,not_applicable_notes
ITEM_DEFINITION,identity_provenance|taxonomy_classification|descriptive_metadata|context_compatibility|relationships_lineage|mechanics|runtime_behavior|validation|playtest,"Creator/manufacturer may resolve as generic/no-creator-required; runtime state remains A8-owned."
PLATFORM_MODEL,identity_provenance|taxonomy_classification|descriptive_metadata|context_compatibility|relationships_lineage|mechanics|runtime_behavior|validation|playtest,"Reusable model; individual asset identity/history remains separate."
PLATFORM_NAMED_ASSET_DEFINITION,identity_provenance|taxonomy_classification|descriptive_metadata|context_compatibility|relationships_lineage|mechanics|runtime_behavior|validation|playtest,"Named catalog definition does not bypass individual-asset runtime boundaries."
PLATFORM_ARCHETYPE,identity_provenance|taxonomy_classification|descriptive_metadata|context_compatibility|relationships_lineage|mechanics|validation|playtest,"Runtime instantiation is not required unless separately governed."
PLATFORM_COMPONENT,identity_provenance|taxonomy_classification|descriptive_metadata|context_compatibility|relationships_lineage|mechanics|runtime_behavior|validation|playtest,"Host compatibility/install behavior required; not a full platform."
PLATFORM_MODULE,identity_provenance|taxonomy_classification|descriptive_metadata|context_compatibility|relationships_lineage|mechanics|runtime_behavior|validation|playtest,"Host compatibility/install behavior required; not a full platform."
RULES_SUPPORT,identity_provenance|taxonomy_classification|descriptive_metadata|relationships_lineage|mechanics|validation,"No fake owned/runtime object required."
SUPPORT_EQUIPMENT,identity_provenance|taxonomy_classification|descriptive_metadata|context_compatibility|relationships_lineage|mechanics|runtime_behavior|validation|playtest,"Route to owning Item/Asset authority."
SUPPORT_CONSUMABLE,identity_provenance|taxonomy_classification|descriptive_metadata|context_compatibility|relationships_lineage|mechanics|runtime_behavior|validation|playtest,"Consumption semantics required through owning runtime authority."
SERVICE_FACILITY,identity_provenance|taxonomy_classification|descriptive_metadata|context_compatibility|relationships_lineage|mechanics|validation,"Service/economy/support definition; no platform-instance requirement."
SERVICE_PACKAGE,identity_provenance|taxonomy_classification|descriptive_metadata|context_compatibility|relationships_lineage|mechanics|validation,"Service/economy/support definition; no platform-instance requirement."
LEGACY_REFERENCE,identity_provenance,"Reference/provenance/supersession only; never promoted merely to improve readiness percentage."
