structural_candidate_id,logical_source_id,source_file_id,logical_page,physical_page,heading_text,ppia04_disposition
candidate.363525e94eefe50df0,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,433,433,11 An armored transport,vehicle_context_requires_source_review
candidate.e51dd6be8baabc287d,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1438,312,⚔️ Weapons & Systems • Quad Turret Arrays (x4),vehicle_system_context_requires_source_review
candidate.ce4b563bcf26992d11,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1447,321,⚔️ Weapons & Systems • Heavy Plasma Emitters (x2),vehicle_system_context_requires_source_review
candidate.f19b03f3f8e609e0ef,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1459,333,⚔️ Weapons Systems,vehicle_system_context_requires_source_review
candidate.3133e74bff03a04b27,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1545,419,🔫 Weapon Systems Stagger Pulse Emitters,vehicle_system_context_requires_source_review
candidate.2f455ec25027f0e0ef,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1564,438,🔫 Weapon Systems,vehicle_system_context_requires_source_review
candidate.857b2cc1c36d94fc9d,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1568,442,🔫 Weapon Systems,vehicle_system_context_requires_source_review
candidate.2341ee0494a94574ec,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1585,459,Armor Rating 18 (Heavy Reinforced Plating),vehicle_system_context_requires_source_review
candidate.aae686ddc1d54cf455,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1599,473,⚔️ Weapons Systems (Limited),vehicle_system_context_requires_source_review
candidate.0cfc8920611ec372eb,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1629,503,🎯 Weapons (Minimal Armament):,vehicle_system_context_requires_source_review
