state_id,state_key,display_name,definition,terminal_for_dimension
OGR-ST-001,unassessed,Unassessed,No governed review has yet been performed for this readiness dimension.,False
OGR-ST-002,in_progress,In Progress,Work has begun but the readiness dimension has not passed its gate.,False
OGR-ST-003,review_required,Review Required,Evidence exists but requires human/governed review before the dimension can pass.,False
OGR-ST-004,blocked,Blocked,A prerequisite or unresolved defect prevents the readiness dimension from passing.,False
OGR-ST-005,ready,Ready,The readiness dimension has satisfied its content/contract requirements but has not necessarily passed final validation.,False
OGR-ST-006,validated,Validated,The readiness dimension has passed its declared deterministic/integration validation.,True
OGR-ST-007,playtested,Playtested,The applicable representative or focused playtest gate has passed.,True
OGR-ST-008,game_ready,Game Ready,All requirements of the record profile are satisfied; this state applies only to the overall record certification.,True
OGR-ST-009,not_applicable,Not Applicable,The dimension does not apply to this record route and is explicitly waived by profile.,True
OGR-ST-010,reference_only,Reference Only,The record exists only as source/provenance/supersession evidence and is not a current playable definition.,True
