Environment_Definition_ID,Environment_Name,Has_Overview,Has_Environmental_Features,Has_Movement_Or_Navigation,Has_Hazards,Has_Encounters_Or_Challenges,Has_Rest_Or_Shelter,Has_Random_Encounter_Table,Has_Overview_Source_Matrix,Has_Environmental_Features_Source_Matrix,Has_Movement_Or_Navigation_Source_Matrix,Has_Hazards_Source_Matrix,Has_Encounters_Or_Challenges_Source_Matrix,Has_Rest_Or_Shelter_Source_Matrix,Has_Random_Encounter_Table_Source_Matrix,Minimum_Profile_Complete,Linked_Environmental_Ability_Count,Source_Profile_Page_Count,ENV02_Repair_Note
ENVDEF-BB71C8719980,Swamps,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,4,3,Source recognition: Resting heading was empty; ENV-02 authored rest/shelter completion added. ENV-02 authored d12 random encounter completion derived from existing profile concepts.
ENVDEF-3202B9AFFBB0,Mangrove Swamp,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,4,6,No ENV-02 content repair required.
ENVDEF-0B08D18F0134,Sunken City,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,6,No ENV-02 content repair required.
ENVDEF-3ACFB0214F20,Island Chain,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,7,No ENV-02 content repair required.
ENVDEF-839312524399,At Sea,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,4,7,No ENV-02 content repair required.
ENVDEF-8732D6327E25,Underwater,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,4,6,No ENV-02 content repair required.
ENVDEF-646E783454A9,Underwater Caves,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,4,7,No ENV-02 content repair required.
ENVDEF-D9785C27BDE3,Industrial Zones,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,10,No ENV-02 content repair required.
ENVDEF-0147CB5991C8,Temperate Forest,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,0,3,ENV-02 authored d12 random encounter completion derived from existing profile concepts.
ENVDEF-19AC3BF47645,Rainforest or Jungle,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,0,3,ENV-02 authored d12 random encounter completion derived from existing profile concepts.
ENVDEF-D339447208B4,Arctic Tundra and Taiga,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,7,No ENV-02 content repair required.
ENVDEF-701FFC266DEC,Rocky Highlands and Mountains,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,4,6,No ENV-02 content repair required.
ENVDEF-7C39E3F7B7B8,Sandy Desert,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,4,5,No ENV-02 content repair required.
ENVDEF-06612C283234,Volcano,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,7,No ENV-02 content repair required.
ENVDEF-5B1F4F1EAFE1,Post-Apocalyptic Radioactive Zone,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,6,No ENV-02 content repair required.
