step_id,prepared_layer,primary_artifacts,implementation_phases,integration_boundary
RSTEP-01,Source boundary / PPIA-12 dependency baseline,REALITY_SOURCE_INVENTORY.csv; STEP1_SOURCE_AND_SCOPE_BASELINE.md,IA-R0/R1/R4,Source/provenance baseline only.
RSTEP-02,Controlled entity/topology taxonomy,REALITY_PLACE_ENTITY_TYPE_REGISTRY.csv; REALITY_TOPOLOGY_RELATIONSHIP_REGISTRY.csv,IA-R3/R4,Stable controlled structural identities and typed edges.
RSTEP-03,Discovery facets/search classification,REALITY_DISCOVERY_FACET_AXIS_REGISTRY.csv; shared facet registries,IA-R3/R5/R12,Independent scoped GM-facing discovery metadata.
RSTEP-04,Reality laws/metaphysics,REALITY_LAW_AXIS_REGISTRY.csv; REALITY_CROSS_BOUNDARY_EVALUATION_SCHEMA.csv,IA-R6/R10,Scoped laws and cross-boundary compatibility evidence.
RSTEP-05,World content/civilization,WORLD_CONTENT_PROFILE_AXIS_REGISTRY.csv; WORLD_CONTENT_DOMAIN_OWNERSHIP_MATRIX.csv,IA-R6/R10,Setting-scoped content presence/profile while owning domains remain external.
RSTEP-06,Variation/relationship graph,REALITY_VARIATION_RELATIONSHIP_REGISTRY.csv; REALITY_VARIATION_EDGE_SCHEMA.csv,IA-R7/R11,Fictional variation/continuity graph separated from version ancestry.
RSTEP-07,GM creation framework,GM_REALITY_CREATION_FRAMEWORK.md; GM_REALITY_CREATION_PROMPT_REGISTRY.csv,IA-R8/R10,"Progressive drafts, proposals and governed authoring UX."
RSTEP-08,Existing Reality/place crosswalk,REALITY_PLACE_ENTITY_CROSSWALK.csv; REALITY_PLACE_RELATION_CROSSWALK.csv,IA-R4,Read-only current source projection and preserved conflicts.
RSTEP-09,Search/discovery/similarity,REALITY_SEARCH_DISCOVERY_SIMILARITY_SYSTEM.md; search_outputs,IA-R7/R12,Permission-first exact/faceted search and evidence-adjusted similarity.
RSTEP-10,Canon/provenance/ownership/versioning,REALITY_CANON_PROVENANCE_OWNERSHIP_VERSIONING_MODEL.md,IA-R3/R11/R12,Independent authority/status axes and immutable exact-version lineage.
RSTEP-11,Coverage analyzer,REALITY_COVERAGE_ANALYZER_README.md; coverage_outputs,IA-R7/R12,Type-aware evidence/readiness analysis; no quotas.
RSTEP-12,Enrichment/publication preparation,REALITY_CATALOG_ENRICHMENT_PUBLICATION_PREPARATION.md; enrichment_outputs,IA-R8/R12,Governed review queues and publication dependencies; no auto-authoring.
RSTEP-13,Future community collaboration,FUTURE_COMMUNITY_WORLDBUILDING_PUBLISHING_COLLABORATION_LAYER.md,IA-R14/R15/R16,Dormant exact-version collaboration/publishing/social/moderation contract.
RSTEP-14,Final IA/future-community integration,IA_REALITY_INTEGRATION_HANDOFF.md and IA_REALITY_* integration files,IA-R0-R16,"Implementation sequence, gates, validators, fixtures, rollback, UI requirements and shelving handoff."
