Source_Collection,Collection_Record_ID,Member_Record_Count,Preset_ID,Preset_Name,Overlay_ID,Canonical_Link_Count,Reconciliation_State,Inference_Authorized,Authority_Note
"Abandoned Space Station","ABL3-00403","12","ENVPRESET-09A74188F0A7","Abandoned Space Station","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Ancient Temple Perks","ABL3-00442","5","ENVPRESET-64200FBCF92E","Ancient Temples","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Arctic Tundra and Taiga Perks","ABL3-00246","4","ENVPRESET-D339447208B4","Arctic Tundra and Taiga","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Ashlands (Volcanic or Fire-Ravaged Wasteland)","ABL3-00284","10","ENVPRESET-7708CBB27247","Ashland","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Asteroid Field","ABL3-00332","12","ENVPRESET-E39FBC0406F8","Asteroid Field","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"At Sea (Open Ocean) Perks","ABL3-00317","4","ENVPRESET-839312524399","At Sea","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Black Hole Proximity","ABL3-00429","12","ENVPRESET-49411B4A3073","Black Hole Proximity","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Bustling Metropolis Perks","ABL3-00221","4","ENVPRESET-BDCE065F24A7","Bustling Metropolis","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Bustling Space Station","ABL3-00193","12","ENVPRESET-2B1911EAC380","Bustling Space Station","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Caves & Caverns Perks","ABL3-00371","5","ENVPRESET-536D4B0C5312","Caves and Caverns","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Chaos and Foam Environment Perk Tree","ABL3-00480","8","","","OVL-SUP-CHAOS-FOAM","0","source_backed_overlay_context_seam","NO","Exact Chaos/Foam context seam only; member perks remain ability-system-owned and are not auto-granted."
"Cyberpunk City Perks","ABL3-00206","4","ENVPRESET-D685069FA781","Cyberpunk City","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Flooded Suburbs","ABL3-00251","10","ENVPRESET-0D4B81978C1A","Flooded Suburbs","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Gas Giant Upper Atmosphere","ABL3-00345","12","ENVPRESET-D69B988CD5E0","Gas Giant Upper Atmosphere","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Island Perks","ABL3-00295","4","ENVPRESET-3ACFB0214F20","Island Chain","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
