catalog,rows,sha256,source
Computers.csv,1000,ec20b7ba6967a8c0533f6ca2ccf6f46b9bb72151ba3d3723432c4b6cdbfeee9d,03_CSV_Sources.zip / MV_Master_01_Core matching source body
EVA_Suits.csv,430,e81d19f521d956a4955e418a9701db761a781911fd697c5b92fcde3ad61512b1,03_CSV_Sources.zip / MV_Master_01_Core matching source body
Items.csv,761,f67a02a7d36e39f4837dbca4c2b75e3773fe6a0a8de58c278b2703c2b45d5cee,03_CSV_Sources.zip / MV_Master_01_Core matching source body
Living_Spellbooks.csv,1501,9330cb953171667374e7233c9dbf70fcc2261c163006c7832d33a8976d7e353d,03_CSV_Sources.zip / MV_Master_01_Core matching source body
Magitech_Items.csv,532,9835233c515f90917d022e540cce221df724320775a8c6fbbc8e0f27c8cd3a55,03_CSV_Sources.zip / MV_Master_01_Core matching source body
Mecha.csv,2117,60ff6a730f5a1d50dd4622da5d199be4f753b1933acfe9d087d5bf21b4a8bf0f,03_CSV_Sources.zip / MV_Master_01_Core matching source body
Melee_Weapons.csv,327,9c6de3cba7254fd0c4928cc644d127a23993bced533b64bc40b414016ab109ed,03_CSV_Sources.zip / MV_Master_01_Core matching source body
Ranged_Weapons.csv,230,ecafc340c204847555db0e8a4f87fe8bf3980c87c739c1c8491f8e80f8934846,03_CSV_Sources.zip / MV_Master_01_Core matching source body
Spacecraft.csv,2311,00ce4a9d5730ac413d22813325ff3ace7e0c7b0445e9bcd0af45aa2911962c6f,03_CSV_Sources.zip / MV_Master_01_Core matching source body
Symbiotes_Cybernetics.csv,572,37af1a950d1f7642c65c00475a96545b70225622c8b2c86f9f399b585e57d8a2,03_CSV_Sources.zip / MV_Master_01_Core matching source body
Vehicles.csv,1200,2edd4f50d18d7d629c1a268122d1d4846e3df364da9b9c45f666359ba0dd791c,03_CSV_Sources.zip / MV_Master_01_Core matching source body
Weapons_Ammo.csv,36,d6d3d80b208ad40dd812a22d8234b0e3a5395526da90d8f4da7e944ea180d719,03_CSV_Sources.zip / MV_Master_01_Core matching source body
