Preset_ID,Preset_Name,Source_Environment_Definition_ID,Primary_Archetype_ID,Secondary_Archetype_IDs,Source_Trait_Notes,Preset_Context_Tags,Deferred_Overlay_Family_Hints,Downstream_Refinement_Tranches,Content_Reference,Minimum_Profile_Complete,Source_Profile_Immutable,Conversion_State
ENVPRESET-BB71C8719980,Swamps,ENVDEF-BB71C8719980,ARCH-WETLAND,,fresh/brackish chemistry unspecified|fog/disease/supernatural specifics,,OVF-SUPERNATURAL|OVF-WEATHER,ENV-06|ENV-07|ENV-11|ENV-13,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-3202B9AFFBB0,Mangrove Swamp,ENVDEF-3202B9AFFBB0,ARCH-WETLAND,ARCH-FOREST|ARCH-COASTAL,salt/brackish water|tidal intensity,,OVF-HYDROLOGY,ENV-06|ENV-07|ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-0B08D18F0134,Sunken City,ENVDEF-0B08D18F0134,ARCH-SUBMERGED,ARCH-URBAN|ARCH-BUILT-COMPLEX,submerged/ruined state specifics|depth/pressure band,,OVF-PRESSURE,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-3ACFB0214F20,Island Chain,ENVDEF-3ACFB0214F20,ARCH-COASTAL,ARCH-OPEN-WATER,individual-island terrain mix|storm/reef conditions,,OVF-WEATHER,ENV-07|ENV-11,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-839312524399,At Sea,ENVDEF-839312524399,ARCH-OPEN-WATER,,marine/saltwater|weather/storm state,,OVF-WEATHER,ENV-06|ENV-07|ENV-11,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-8732D6327E25,Underwater,ENVDEF-8732D6327E25,ARCH-SUBMERGED,,depth/pressure band|freshwater vs marine,,OVF-PRESSURE,ENV-06|ENV-07|ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-646E783454A9,Underwater Caves,ENVDEF-646E783454A9,ARCH-SUBMERGED,ARCH-SUBTERRANEAN,depth/pressure band|freshwater vs marine,,OVF-PRESSURE,ENV-06|ENV-07|ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-D9785C27BDE3,Industrial Zones,ENVDEF-D9785C27BDE3,ARCH-INFRASTRUCTURE,,industry/technology subtype|pollution/toxicity,,OVF-CONTAMINATION,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-0147CB5991C8,Temperate Forest,ENVDEF-0147CB5991C8,ARCH-FOREST,,temperate/seasonal climate,,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-19AC3BF47645,Rainforest or Jungle,ENVDEF-19AC3BF47645,ARCH-FOREST,,tropical/humid climate|heavy rainfall,,OVF-WEATHER,ENV-11,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
