Slice,Authority_Disposition,Operation,Path,Purpose
AST-S01,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/inventory-equipment/asset-instance-port.ts,"D17 live Item/Asset Instance identity, Definition/version reference, lineage and mutable inventory state; no reusable Definition mechanics duplication."
AST-S01,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/shared-asset-port.ts,"D27 shared Asset instance identity, source snapshot, ownership lineage and live state."
AST-S01,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/entity-catalog/product-identity-port.ts,D07 shared generic concept/family/model/product/variant/configuration identity ladder; no display-name auto-merge.
AST-S01,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/entity-catalog/creator-origin-port.ts,D07 shared Creator/manufacturer/brand/culture/origin references; creator is not automatically a Faction.
AST-S01,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/entity-catalog/content-context-port.ts,Provider-neutral D07/shared content-context seam for nine facets and source-stable machine IDs; unknown/unavailable remains explicit.
AST-S01,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/entity-catalog/compatibility-evaluation-port.ts,"Separate intrinsic requirements, affinities, scoped context assertions and compatibility results; permission-filtered explanations."
AST-S01,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/authoring-provenance/source-state-reference-port.ts,D29 read-only provenance/source-state reference seam; current/source/legacy/authored/unresolved/remechanization states remain distinct.
AST-S01,ADD_DORMANT,CREATE,packages/contracts/src/entity-catalog/product-lineage-port.ts,Dormant read-only predecessor/successor/derivative product lineage metadata.
AST-S01,ADD_DORMANT,CREATE,packages/contracts/src/entity-catalog/market-context-metadata-port.ts,Dormant availability/restriction/service/parts/production-history metadata; no canonical price authority.
AST-S01,ADD_DORMANT,CREATE,packages/contracts/src/authoring-provenance/remechanization-candidate-reference.ts,Dormant read-only references to governed current-rule review queues; never direct-convert legacy mechanics.
AST-S01,ADOPT_SUPPLEMENT,CREATE,schemas/domains/inventory-equipment/asset-instance.schema.json,D17 live Asset Instance schema with explicit reusable Definition reference.
AST-S01,ADOPT_SUPPLEMENT,CREATE,schemas/domains/shared-assets/shared-asset.schema.json,D27 live shared Asset schema with explicit reusable Definition/Model reference.
AST-S01,ADOPT_SUPPLEMENT,CREATE,schemas/domains/entity-catalog/content-context.schema.json,Shared nine-facet context/compatibility transfer schema without embedding world authority.
AST-S01,MODIFY_BOUNDED,CREATE,database/migrations/0006_a8_asset_foundations.json,Smallest additive A8 migration after implemented 0005; logical D17/D27/D07/D29 ownership remains strict and 0001-0005 are immutable.
AST-S01,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/persistence.ts,Expected-version and provider-neutral transaction foundation.
AST-S01|VEH-S01,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/a2/object-contracts.ts,Reusable governed Definition/variant/provenance/compatibility projection identity; A8 must not duplicate Item/Vehicle Definition mechanics. / Reusable Vehicle/Platform Model/Definition/variant identity and inspection; no D27 model-mechanics duplication.
AST-S01,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/a2/object-ports.ts,Governed read/picker/provenance/relationship service boundary for reusable definitions.
AST-S01,ADOPT_CURRENT,REUSE_CONTEXT,domains/entity-catalog/BOUNDARY.md,D07 owns entity catalog/definitions/variants shared metadata and forbids cross-domain persistence imports.
AST-S01,ADOPT_CURRENT,REUSE_CONTEXT,domains/inventory-equipment/BOUNDARY.md,D17 remains inventory/equipment source-of-truth boundary.
AST-S01,ADOPT_CURRENT,REUSE_CONTEXT,domains/shared-assets/BOUNDARY.md,D27 remains shared Asset/Vehicle source-of-truth boundary.
AST-S01,ADOPT_CURRENT,REUSE_CONTEXT,domains/authoring-provenance/BOUNDARY.md,D29 remains provenance/authoring source-of-truth boundary; A8 consumes a read-only seam only.
AST-S02,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/asset-authority-port.ts,"Separate ownership, custody, possession, control, access, use and approval policy; compose current A3/A4 authority."
AST-S02,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/asset-location-port.ts,Versioned Campaign/Character/Scene/container/vehicle/shop/vault/transit locations; location never implies ownership.
AST-S02,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/a3/stable-subject-session-port.ts,Stable subject/session identity.
