Source_Overlay_ID,Relation,Target_Overlay_ID,Scope_Rule,Automatic_Activation,Resolution_Note
OVL-SUP-MAGICAL-SATURATION,excludes,OVL-SUP-MAGICAL-DEAD-ZONE,same materially uniform active scope,NO,Ambient magical regimes conflict only in the same uniform scope; disjoint scopes may coexist.
OVL-SUP-MAGICAL-DEAD-ZONE,excludes,OVL-SUP-MAGICAL-SATURATION,same materially uniform active scope,NO,Reverse explicit exclusion prevents hidden priority or last-write-wins.
OVL-SUP-REALITY-INSTABILITY,amplifies,OVL-SUP-DIMENSIONAL-BLEED,both already active in overlapping scope,NO,"If both are active, boundary-overlap consequences may be treated as more unstable; no bleed is created."
OVL-SUP-DIMENSIONAL-BLEED,transforms_with,OVL-SUP-REALITY-INSTABILITY,both already active in overlapping scope,NO,Combined expression preserves both identities and their contribution trace.
OVL-SUP-REALITY-INSTABILITY,amplifies,OVL-SUP-TEMPORAL-INSTABILITY,both already active in overlapping scope,NO,"If both are active, temporal anomalies occur within unstable reality context; no temporal condition is created."
OVL-SUP-TEMPORAL-INSTABILITY,transforms_with,OVL-SUP-REALITY-INSTABILITY,both already active in overlapping scope,NO,Combined expression preserves separate reality and temporal contributions.
OVL-SUP-DIMENSIONAL-BLEED,amplifies,OVL-SUP-PORTAL-ACTIVITY,both already active in overlapping scope,NO,"If both are active, portal context may inherit cross-reality overlap complications; no portal is created."
OVL-SUP-PORTAL-ACTIVITY,transforms_with,OVL-SUP-DIMENSIONAL-BLEED,both already active in overlapping scope,NO,Portal route/traffic context and dimensional overlap remain separate traced contributions.
OVL-SUP-DREAM-INFLUENCE,amplifies,OVL-SUP-PSYCHIC-INFLUENCE,both already active in overlapping scope,NO,"If both are active, dream-linked psychic signals may be more contextually significant; no mental condition is imposed."
OVL-SUP-PSYCHIC-INFLUENCE,transforms_with,OVL-SUP-DREAM-INFLUENCE,both already active in overlapping scope,NO,Combined expression preserves dream and psychic identities without forcing sleep or hallucination.
