Preset_ID,Preset_Name,Primary_Archetype_ID,Secondary_Archetype_IDs,Variants,Preset_Context_Tags,Overlay_Family_Hints,Downstream_Refinement_Tranches,Content_Reference,Minimum_Profile_Complete,Authored_Expansion,Application_Implementation_Authority,Habitat_Signature_State,Creature_Distribution_State
ENVPRESET-SI-FARMLAND,Farmland / Agricultural Countryside,ARCH-OPEN-COUNTRY,ARCH-SETTLEMENT,Farmland|Agricultural Countryside|Ranchland|Pasture,cultivated_rural_landscape,OVF-WEATHER|OVF-ECOLOGICAL,ENV-11|ENV-15|ENV-16,ENV-10_SETTLED_INDUSTRIAL_INFRASTRUCTURE_CONTENT_v1.0.0.md,YES,YES,NO,deferred_to_ENV-15,deferred_to_CEW
ENVPRESET-SI-SUBURB,Suburb / Residential District,ARCH-SETTLEMENT,ARCH-URBAN,Suburb|Residential District|Planned Housing Area,low_density_permanent_residential,OVF-INFRASTRUCTURE|OVF-ECOLOGICAL,ENV-11|ENV-12|ENV-15|ENV-16,ENV-10_SETTLED_INDUSTRIAL_INFRASTRUCTURE_CONTENT_v1.0.0.md,YES,YES,NO,deferred_to_ENV-15,deferred_to_CEW
ENVPRESET-SI-FRONTIER-OUTPOST,Frontier Outpost,ARCH-SETTLEMENT,ARCH-BUILT-COMPLEX,Frontier Outpost|Remote Station|Trading Post,remote_small_settlement,OVF-WEATHER|OVF-INFRASTRUCTURE,ENV-11|ENV-12|ENV-15|ENV-16,ENV-10_SETTLED_INDUSTRIAL_INFRASTRUCTURE_CONTENT_v1.0.0.md,YES,YES,NO,deferred_to_ENV-15,deferred_to_CEW
ENVPRESET-SI-ROAD-TRAIL,Road / Wilderness Trail,ARCH-TRANSPORT-CORRIDOR,,Road|Wilderness Trail|Caravan Route|Track,linear_terrestrial_route,OVF-WEATHER|OVF-GEOLOGIC|OVF-INFRASTRUCTURE,ENV-11|ENV-12|ENV-15|ENV-16,ENV-10_SETTLED_INDUSTRIAL_INFRASTRUCTURE_CONTENT_v1.0.0.md,YES,YES,NO,deferred_to_ENV-15,deferred_to_CEW
ENVPRESET-SI-MINE-QUARRY,Mine / Quarry,ARCH-INFRASTRUCTURE,ARCH-SUBTERRANEAN|ARCH-HIGHLAND,Mine|Quarry|Excavation Site,resource_extraction_site,OVF-ATMOSPHERE|OVF-CONTAMINATION|OVF-GEOLOGIC|OVF-INFRASTRUCTURE,ENV-11|ENV-12|ENV-15|ENV-16,ENV-10_SETTLED_INDUSTRIAL_INFRASTRUCTURE_CONTENT_v1.0.0.md,YES,YES,NO,deferred_to_ENV-15,deferred_to_CEW
ENVPRESET-SI-FACTORY-REFINERY,Factory / Refinery,ARCH-INFRASTRUCTURE,ARCH-BUILT-COMPLEX,Factory|Refinery|Processing Plant,industrial_processing_site,OVF-ATMOSPHERE|OVF-CONTAMINATION|OVF-INFRASTRUCTURE,ENV-11|ENV-12|ENV-15|ENV-16,ENV-10_SETTLED_INDUSTRIAL_INFRASTRUCTURE_CONTENT_v1.0.0.md,YES,YES,NO,deferred_to_ENV-15,deferred_to_CEW
ENVPRESET-SI-POWER-UTILITY,Power Plant / Utility Complex,ARCH-INFRASTRUCTURE,ARCH-BUILT-COMPLEX,Power Plant|Utility Complex|Waterworks|Grid Station,critical_utility_site,OVF-CONTAMINATION|OVF-INFRASTRUCTURE,ENV-11|ENV-12|ENV-15|ENV-16,ENV-10_SETTLED_INDUSTRIAL_INFRASTRUCTURE_CONTENT_v1.0.0.md,YES,YES,NO,deferred_to_ENV-15,deferred_to_CEW
ENVPRESET-SI-FORTRESS-BASE,Fortress / Military Base,ARCH-BUILT-COMPLEX,ARCH-INFRASTRUCTURE,Fortress|Castle|Military Base|Fortified Compound,fortified_controlled_site,OVF-INFRASTRUCTURE,ENV-11|ENV-12|ENV-15|ENV-16,ENV-10_SETTLED_INDUSTRIAL_INFRASTRUCTURE_CONTENT_v1.0.0.md,YES,YES,NO,deferred_to_ENV-15,deferred_to_CEW
ENVPRESET-SI-TRANSIT-HUB,Transit Hub / Terminal,ARCH-INFRASTRUCTURE,ARCH-BUILT-COMPLEX|ARCH-TRANSPORT-CORRIDOR,Rail Terminal|Bus Terminal|Airport|Spaceport|Intermodal Hub,transport_interchange,OVF-WEATHER|OVF-INFRASTRUCTURE,ENV-11|ENV-12|ENV-15|ENV-16,ENV-10_SETTLED_INDUSTRIAL_INFRASTRUCTURE_CONTENT_v1.0.0.md,YES,YES,NO,deferred_to_ENV-15,deferred_to_CEW
ENVPRESET-SI-HARBOR-DOCKS,Harbor / Dockyards,ARCH-INFRASTRUCTURE,ARCH-COASTAL|ARCH-BUILT-COMPLEX,Harbor|Dockyards|Wharf District|Shipyard,active_waterfront_logistics_site,OVF-HYDROLOGY|OVF-WEATHER|OVF-INFRASTRUCTURE,ENV-11|ENV-12|ENV-15|ENV-16,ENV-10_SETTLED_INDUSTRIAL_INFRASTRUCTURE_CONTENT_v1.0.0.md,YES,YES,NO,deferred_to_ENV-15,deferred_to_CEW
