handoff_id,external_owner,reality_side,external_authority,boundary
IA-REAL-HO-001,PPIA-12,Reality Catalog preparation,"reusable Setting Definition, typed hierarchy, local extension, authoring/recovery contracts",Reality-specific discovery/law/content/version/search metadata attaches to PPIA-12 identities without redefining them.
IA-REAL-HO-002,PPIA-08,Reality Catalog preparation,Campaign/Scene instantiation and current setting state,Only stable reusable references and authorized setting context hand off; Campaign mutation never writes back to Definition.
IA-REAL-HO-003,MV-IA-F002,Reality Catalog preparation,browse/inspect/compare shell,Reality library/search/inspector project through Universal Object patterns rather than creating a competing navigation model.
IA-REAL-HO-004,MV-IA-F020,Reality Catalog preparation,authorization/projection,All reads/search/counts/maps/AI/collaboration/public projections filter protected data before aggregation.
IA-REAL-HO-005,MV-IA-F021,Reality Catalog preparation,recovery/concurrency,All authoritative writes use expected-version and stable operation/idempotency semantics; offline drafts are proposals only.
IA-REAL-HO-006,MV-IA-F022,Reality Catalog preparation,accessible interaction,Maps/graphs/diffs/lineage must have full textual and keyboard/screen-reader equivalents.
IA-REAL-HO-007,PPIA-02,Reality Catalog preparation,Creature/NPC core definitions,"Setting presence, native/local/restricted and local extension relations only."
IA-REAL-HO-008,PPIA-03 / Item System / A8,Reality Catalog preparation,Item definitions and runtime asset/inventory,Setting availability/presence only; no duplicate item mechanics/ownership/inventory state.
IA-REAL-HO-009,PPIA-04,Reality Catalog preparation,Vehicle core definitions,Setting availability/presence/local extension only.
IA-REAL-HO-010,PPIA-05,Reality Catalog preparation,Species/Form/Biology core definitions,Setting presence/culture/local variant scope only.
IA-REAL-HO-011,Ability/rules domains,Reality Catalog preparation,universal rule semantics/execution,Local Reality law/rule assertions remain scoped and require separate promotion authority.
IA-REAL-HO-012,PPIA-11,Reality Catalog preparation,encounter/balance calibration,Environment/hazard/local-law context may inform encounter preparation but does not define balance mechanics.
IA-REAL-HO-013,MV-IA-F019/F024,Reality Catalog preparation,entitlement/pack/canonical registry,Publication/install/access state remains separate from canon/ownership/visibility and Reality Definition identity.
IA-REAL-HO-014,Future community policy,Reality Catalog preparation,legal/moderation/public release authority,Public community remains dormant until explicit owner gate and external policy decisions are satisfied.
