phase_id,phase,mode,writes_allowed,preconditions,action,exit_gate,rollback
IA-0,Integration authorization gate,no-op until authorized,No,Roadmap at approved IA work item; explicit owner approval; current repos clean/understood; source backups verified,"Verify handoff package, source hashes, current schemas, and feature flag default-off contract.",All preconditions recorded; no production data changed.,Not applicable.
IA-1,Snapshot and migration audit foundation,additive infrastructure,Audit only,IA-0 pass,Snapshot canonical catalogs/data; record checksums/counts; create migration audit storage.,Restore-tested snapshot and immutable pre-migration fingerprint.,Remove audit scaffolding only after evidence export; canonical data untouched.
IA-2,Deploy dormant additive schema,feature disabled,New empty structures only,IA-1 pass,Create new registries/tables/collections/indices with nullable/non-required links; no current schema field removal.,Existing app behavior/tests unchanged with feature disabled.,Drop only new empty structures if needed.
IA-3,Seed controlled registries,feature disabled,Prepared registry seed data,IA-2 pass,Load platform/creator/lineage/market/asset controlled vocabularies using stable IDs.,Registry validators pass; Skiff boundary validator active in shadow mode.,Delete seeded registry rows by migration batch ID.
IA-4,Shadow current catalog projection,read-only shadow,Derived projection only,IA-3 pass,Project current catalog records into new model/assignment structures without altering source rows.,All source IDs/counts/hashes preserved; unresolved mappings remain review-required.,Delete derived projection batch.
IA-5,Import provenance and legacy recovery evidence,review-only,Derived evidence/work queues,IA-4 pass,"Load legacy source occurrences, concept seeds, crosswalk evidence, and re-mechanization queue.",Legacy mechanics flagged non-authoritative; 1 unresolved concept remains unresolved unless separately reviewed.,Delete imported derived evidence/work queue; source archives untouched.
IA-6,Shadow validators and diff reporting,no user-visible behavior change,Validation reports only,IA-5 pass,Run validators against new projections and compare with existing runtime/catalog behavior.,No critical validator failures; no unintended behavior diff.,Disable validators and remove reports.
IA-7,Governed taxonomy/creator adoption,read path enabled,Reviewed metadata only,IA-6 pass; review queue threshold approved,Approve selected taxonomy and creator mappings; expose read-only filtering/inspection behind feature flag.,Search/filter provenance correct; current genre/manufacturer strings still preserved.,"Disable feature; revoke/soft-retire derived approvals, preserving audit."
IA-8,Product lineage adoption,read path enabled,Reviewed catalog lineage metadata,IA-7 pass,Adopt reviewed family/platform/model/variant/trim relationships without changing existing product IDs.,No automatic merges; lineage graph validators pass.,Disable lineage UI; soft-retire relationship batch.
IA-9,Market/configuration enrichment,read path enabled,Reviewed contextual metadata,IA-8 pass,"Add production history, market context, service/parts support, and factory configurations where evidence exists.",No price-authority conflicts; context-sensitive values never overwrite global current fields.,Disable surfaces; soft-retire enrichment batch.
IA-10,Legacy re-mechanization execution,governed authoring,Approved new/updated catalog content only,IA-9 pass; current mechanics anchors verified,Process candidate queue using current rules; preserve concept/provenance; peer-compare and validate.,Each published concept passes all re-mechanization acceptance gates.,Unpublish/revert only newly created governed revisions; legacy evidence retained.
IA-11,Individual asset runtime activation,runtime feature,New asset instances/history,IA-10 stable; runtime ownership/inventory/event dependencies ready,Enable creation of individual assets pinned to product spec versions and governed runtime history.,Save/load/export/import/offline/replay/permissions tests pass.,Feature flag off; retain asset data read-only for recovery/export unless explicit destructive rollback approved.
IA-12,Legacy-field deprecation review,optional future cleanup,No destructive removal by default,Sustained production evidence and owner approval,"Decide whether old display fields remain indefinitely, become derived aliases, or are deprecated.",No source/provenance loss; migrations remain reversible.,Keep legacy fields; this phase may be skipped permanently.
