entity_id,entity_name,source_artifact,persistence_role,canonical_write_phase,initial_mode,required_key,provenance_required,notes
IA-DM-001,PlatformTaxonomyTerm,UNIVERSAL_PLATFORM_TAXONOMY_REGISTRY.csv,controlled_registry,IA-7,seeded_read_only,taxonomy_id,Yes,Stable vocabulary for platform facets; does not replace protected domain-native class/scale systems.
IA-DM-002,PlatformClassificationAssignment,CURRENT_RECORD_CROSSWALK_PREVIEW.csv + PLATFORM_TAXONOMY_FIELD_MAP.csv,derived_assignment,IA-7,shadow/proposed,assignment_id,Yes,Assignments must preserve source field/value and review status; unresolved values remain unresolved.
IA-DM-003,CreatorEntity,CREATOR_ENTITY_SCHEMA.csv,canonical_registry,IA-7,seeded_draft,creator_id,Yes,"Covers companies, cultures, institutions, individuals, hives, precursor makers, etc."
IA-DM-004,CreatorRelationship,CREATOR_RELATIONSHIP_TYPE_REGISTRY.csv,canonical_relation,IA-7,seeded_draft,creator_relationship_id,Yes,Typed parent/division/license/joint-design/etc. relationships.
IA-DM-005,CreatorCatalogScope,CREATOR_CATALOG_SCOPE_REGISTRY.csv + CREATOR_CATALOG_BOUNDARY_SEEDS.csv,governance_constraint,IA-7,seeded_reviewed,catalog_scope_id,Yes,"Enforces creator domain/scale/product boundaries, including Skiff hard constraints."
IA-DM-006,ProductLineNode,PRODUCT_LINE_NODE_SCHEMA.csv,canonical_catalog,IA-8,seeded_draft,product_line_node_id,Yes,Creator/unit/brand/family/platform/model/variant/trim hierarchy.
IA-DM-007,ProductLineageRelationship,PRODUCT_LINEAGE_RELATIONSHIP_REGISTRY.csv,canonical_relation,IA-8,seeded_draft,lineage_relationship_id,Yes,Predecessor/successor/shared-chassis/licensed/rebadge/derivative/etc.
IA-DM-008,ProductModelBaseline,PRODUCT_MODEL_BASELINE_SCHEMA.csv,canonical_catalog_projection,IA-8,read_projection,product_model_id,Yes,Reusable product design; current CSV mechanics remain authoritative until adopted.
IA-DM-009,FactoryConfiguration,FACTORY_CONFIGURATION_SCHEMA.csv,canonical_catalog,IA-9,disabled,factory_configuration_id,Yes,Repeatable trim/mission/regional/order configuration distinct from an individual asset.
IA-DM-010,ProductMarketContext,PRODUCT_MARKET_CONTEXT_SCHEMA.csv,contextual_projection,IA-9,shadow/proposed,product_market_context_id,Yes,Contextual availability/access/acquisition/support/parts state; price remains Economy-owned.
IA-DM-011,ProductionHistoryEvent,PRODUCTION_HISTORY_EVENT_SCHEMA.csv,append_only_history,IA-9,disabled,production_history_event_id,Yes,"Announcement, prototype, release, revision, suspension, discontinuation, revival, recall, etc."
IA-DM-012,IndividualAsset,INDIVIDUAL_ASSET_SCHEMA.csv,runtime_asset,IA-11,disabled,asset_id,Yes,Specific owned/encountered instance; does not exist merely because a catalog model exists.
IA-DM-013,AssetIdentityMark,ASSET_IDENTITY_MARK_SCHEMA.csv,runtime_asset_child,IA-11,disabled,identity_mark_id,Yes,Serial/registry/callsign/transponder/etc.; never canonical DB identity.
IA-DM-014,AssetHistoryEvent,ASSET_HISTORY_EVENT_SCHEMA.csv,append_only_history,IA-11,disabled,asset_history_event_id,Yes,"Ownership, service, damage, repair, modification, capture, destruction, restoration, etc."
IA-DM-015,LegacySourceOccurrence,LEGACY_SOURCE_OCCURRENCE_REGISTER.csv + LEGACY_SOURCE_SEGMENTS.jsonl,provenance_evidence,IA-5,import_read_only,source_occurrence_id,Intrinsic,Historical source evidence; never runtime mechanics authority.
IA-DM-016,LegacyConcept,LEGACY_PRODUCT_SEED_REGISTER.csv,recovery_queue,IA-5,import_review_only,legacy_seed_id,Yes,Recovered concept identity; mechanics remain non-authoritative until re-mechanized and approved.
IA-DM-017,RemechanizationWorkItem,LEGACY_REMECHANIZATION_WORK_QUEUE.csv,governed_workflow,IA-10,review_queue,work_item_id,Yes,"Tracks concept preservation, peer selection, current-rule rebuild, validation, and approval."
IA-DM-018,MigrationAuditRecord,IA_MIGRATION_SEQUENCE.csv,migration_audit,IA-1,enabled_during_migration,migration_audit_id,Yes,"Records source fingerprints, phase results, reversible derived writes, and actor/tool version."
