structural_candidate_id,logical_source_id,source_file_id,logical_page,physical_page,heading_text
candidate.8860a82fb0b2aab822,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,57,57,| Roll | Item Condition | |------|----------------------------------------|
candidate.f31ecaa127f1850f0c,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,110,110,Anchor Lines Ropes and climbing gear designed for
candidate.7b55d81b204fbdb894,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,144,144,XII. GM Tools for Dionasia
candidate.be0b4c351e04ab1900,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,371,371,9. GM Tools and Roll Tables
candidate.2d8a97b339cff376d3,src.logical.world-faction-compilation,src.file.mvmerg2.2b2995294b,520,520,3. Luxury Tax (High-Value Items)
candidate.4647aece2f035bb773,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,185,185,"19. Far Future: Advanced space travel, energy weapons, artificial intelligence societies, and interstellar"
candidate.b724f575f1c4f899bf,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,205,205,1. Requirements and Tools
candidate.b44288dcedb7e9ccba,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,326,326,"Survival Gear Space suits with oxygen tanks, thermal"
candidate.363525e94eefe50df0,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,433,433,11 An armored transport
candidate.2524ad867f6d84c49e,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,458,458,"Category Items to Find or Collect Food Supplies Dried meats, foraged"
candidate.5d74cac231907dda95,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,485,485,2. Experimental Equipment Rules
candidate.d4dfac4010bc65c8bb,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,527,527,1. UZ-Origin Items (Toon-Like or Unreal Artifacts):
candidate.6251285ca8b8765d8b,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,528,528,1. Stabilizing UZ Items in Other Branches:
candidate.b7c94338ad8d107f8d,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,729,729,"Breath weapon develops fully, flight"
candidate.171c3726572a9bd58e,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,731,731,🔁 Breath Weapon
candidate.3212c4185f81160c16,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,802,802,Ink Claw (Melee Weapon Attack)
candidate.76daaeb7a74daedb65,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,808,808,Infernal Gavel (Melee Weapon Attack)
candidate.d23026778b063842ac,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,814,814,Cursed Claw (Melee Weapon Attack)
candidate.98a3fe4cea61f1ca30,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,818,818,Echo Slam (Melee Weapon Attack)
candidate.49c6edff9bde8987af,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,833,833,"Repair Requirements • Tools/Skills: Alchemy, Medicine, Necromancy"
candidate.f524435928245a68f8,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,844,844,"Repair Requirements • Tools/Skills: Artifice, Enchantment, Framing"
candidate.825877c72271d4bc8b,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1343,217,🔫 Weapon Loadout
candidate.43138278b50a0e5866,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1352,226,Primary Weapon:
candidate.1e92eb383a38890a13,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1358,232,🔫 Weapon Loadout
candidate.de9938dbb6211734b4,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1361,235,Primary Weapon:
candidate.fb97b23fb4a69ec47f,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1364,238,🔫 Weapon Loadout
candidate.e51dd6be8baabc287d,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1438,312,⚔️ Weapons & Systems • Quad Turret Arrays (x4)
candidate.ce4b563bcf26992d11,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1447,321,⚔️ Weapons & Systems • Heavy Plasma Emitters (x2)
candidate.f19b03f3f8e609e0ef,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1459,333,⚔️ Weapons Systems
candidate.3133e74bff03a04b27,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1545,419,🔫 Weapon Systems Stagger Pulse Emitters
candidate.2f455ec25027f0e0ef,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1564,438,🔫 Weapon Systems
candidate.857b2cc1c36d94fc9d,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1568,442,🔫 Weapon Systems
candidate.2341ee0494a94574ec,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1585,459,Armor Rating 18 (Heavy Reinforced Plating)
candidate.aae686ddc1d54cf455,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1599,473,⚔️ Weapons Systems (Limited)
candidate.0cfc8920611ec372eb,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1629,503,🎯 Weapons (Minimal Armament):
candidate.da2587a6cc48487729,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1640,514,Armor & Shields ARMOR AND SHIELDS
candidate.118f3ddeb2fb5af881,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1760,634,Melee Weapons 1. Types of Melee Weapons
candidate.eb0de2de1136ac4675,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1762,636,9. Using Melee Weapons
candidate.34af1684b8793d6cc6,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1774,648,"Magitech Items 📘 Multiversal: Arcanotech Items (Compact, Detailed)"
candidate.7b2ed18822a57d6e1b,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1780,654,🧩 Multiversal: Runetech Item Set (Compact)
candidate.1d142cdebf0dc80bc4,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1783,657,🧠 Multiversal: Psitech Item Set (Compact Evernote Format)
candidate.9324e8b99684a6c560,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1790,664,🌿 Multiversal: Biomagitech Item Set (Compact Evernote Format) 🛡 Armor & Wearables
candidate.09397249317cb974e1,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1799,673,🧬 Multiversal: Chaosynth Item Set (Compact Evernote Format)
