Environment_Definition_ID,Environment_Name,Primary_Archetype_ID,Secondary_Archetype_IDs,Compound_Archetype_Count,Deferred_Preset_Or_Overlay_Traits,ENV03_State
ENVDEF-BB71C8719980,Swamps,ARCH-WETLAND,,1,fresh/brackish chemistry unspecified|fog/disease/supernatural specifics,mapped
ENVDEF-3202B9AFFBB0,Mangrove Swamp,ARCH-WETLAND,ARCH-FOREST|ARCH-COASTAL,3,salt/brackish water|tidal intensity,mapped
ENVDEF-0B08D18F0134,Sunken City,ARCH-SUBMERGED,ARCH-URBAN|ARCH-BUILT-COMPLEX,3,submerged/ruined state specifics|depth/pressure band,mapped
ENVDEF-3ACFB0214F20,Island Chain,ARCH-COASTAL,ARCH-OPEN-WATER,2,individual-island terrain mix|storm/reef conditions,mapped
ENVDEF-839312524399,At Sea,ARCH-OPEN-WATER,,1,marine/saltwater|weather/storm state,mapped
ENVDEF-8732D6327E25,Underwater,ARCH-SUBMERGED,,1,depth/pressure band|freshwater vs marine,mapped
ENVDEF-646E783454A9,Underwater Caves,ARCH-SUBMERGED,ARCH-SUBTERRANEAN,2,depth/pressure band|freshwater vs marine,mapped
ENVDEF-D9785C27BDE3,Industrial Zones,ARCH-INFRASTRUCTURE,,1,industry/technology subtype|pollution/toxicity,mapped
ENVDEF-0147CB5991C8,Temperate Forest,ARCH-FOREST,,1,temperate/seasonal climate,mapped
ENVDEF-19AC3BF47645,Rainforest or Jungle,ARCH-FOREST,,1,tropical/humid climate|heavy rainfall,mapped
ENVDEF-D339447208B4,Arctic Tundra and Taiga,ARCH-OPEN-COUNTRY,ARCH-FOREST,2,cold/snow/ice|compound profile split deferred to ENV-09,mapped
ENVDEF-701FFC266DEC,Rocky Highlands and Mountains,ARCH-HIGHLAND,,1,rocky substrate|altitude/weather severity,mapped
ENVDEF-7C39E3F7B7B8,Sandy Desert,ARCH-OPEN-COUNTRY,,1,sand/dune substrate|aridity/extreme heat|sandstorm,mapped
ENVDEF-06612C283234,Volcano,ARCH-HIGHLAND,,1,volcanic/geothermal activity|lava|toxic gas|eruption severity,mapped
ENVDEF-5B1F4F1EAFE1,Post-Apocalyptic Radioactive Zone,ARCH-OPEN-COUNTRY,,1,post-apocalyptic state|radiation/toxicity|ruined-civilization context,mapped
ENVDEF-77BDAB9A5BF8,Post-Apocalyptic Overgrown City,ARCH-URBAN,ARCH-FOREST,2,post-apocalyptic state|overgrown/reclaimed state|ruined/structural decay,mapped
ENVDEF-0D4B81978C1A,Flooded Suburbs,ARCH-SETTLEMENT,ARCH-WETLAND,2,flooded state|post-apocalyptic state|structural decay,mapped
ENVDEF-FF8F0B4B4C46,Underground Bunker Network,ARCH-CONSTRUCTED-HABITAT,ARCH-SUBTERRANEAN|ARCH-INFRASTRUCTURE,3,post-apocalyptic/decayed state|systems failure,mapped
ENVDEF-CE188D232B51,Skeletons of Highways,ARCH-INFRASTRUCTURE,,1,post-apocalyptic/derelict state|broken transport network,mapped
ENVDEF-7708CBB27247,Ashland,ARCH-OPEN-COUNTRY,,1,ash cover|residual heat/fire|toxic airborne particulates,mapped
ENVDEF-9BC0823DF786,Sewers and Forgotten Catacombs,ARCH-SUBTERRANEAN,ARCH-INFRASTRUCTURE|ARCH-BUILT-COMPLEX,3,,mapped
ENVDEF-64200FBCF92E,Ancient Temples,ARCH-BUILT-COMPLEX,,1,,mapped
ENVDEF-536D4B0C5312,Caves and Caverns,ARCH-SUBTERRANEAN,,1,,mapped
ENVDEF-2B1911EAC380,Bustling Space Station,ARCH-CONSTRUCTED-HABITAT,ARCH-URBAN,2,busy/populated state|station technology/gravity configuration,mapped
ENVDEF-09A74188F0A7,Abandoned Space Station,ARCH-CONSTRUCTED-HABITAT,,1,abandoned/derelict state|systems failure,mapped
ENVDEF-29F129444A76,The Void,ARCH-SPACE-VOID,,1,,mapped
ENVDEF-E39FBC0406F8,Asteroid Field,ARCH-SPACE-VOID,,1,dense obstacle/debris field|local gravity fluctuations,mapped
ENVDEF-D69B988CD5E0,Gas Giant Upper Atmosphere,ARCH-AERIAL,,1,gas composition|storm/electrical severity|pressure/depth band,mapped
ENVDEF-E8B22149DA3E,Space Graveyard and Starship Junkyard,ARCH-SPACE-VOID,,1,derelict/debris density|radiation/explosive remnants,mapped
ENVDEF-6A8EE04CD9E9,Floating Megacity,ARCH-URBAN,ARCH-CONSTRUCTED-HABITAT,2,spaceborne/suspended configuration|technology/resource scarcity,mapped
ENVDEF-49411B4A3073,Black Hole Proximity,ARCH-SPACE-VOID,,1,extreme gravity|time dilation|spatial distortion,mapped
ENVDEF-753CCB6E6A9F,Wormhole Convergence,ARCH-SPACE-VOID,,1,portal density|temporal/spatial instability|gravity anomaly,mapped
ENVDEF-16D74232D666,Nebula,ARCH-SPACE-VOID,,1,gas/dust density|sensor interference|radiation/magnetic effects,mapped
ENVDEF-D685069FA781,Cyberpunk City,ARCH-URBAN,,1,cyberpunk technology/surveillance|corporate control,mapped
ENVDEF-07BE134638DA,Slums and Alleyways,ARCH-URBAN,,1,poverty/crime density|district condition,mapped
ENVDEF-DFD76B3ECBEF,Marketplace,ARCH-URBAN,,1,commercial/crowd configuration,mapped
ENVDEF-BDCE065F24A7,Bustling Metropolis,ARCH-URBAN,,1,high population/crowd intensity,mapped
ENVDEF-617F39174A2A,Port City,ARCH-URBAN,ARCH-COASTAL,2,marine port activity|trade/smuggling configuration,mapped
ENVDEF-49714607CDD6,Small Town or Hamlet,ARCH-SETTLEMENT,,1,rural/permanent configuration,mapped
ENVDEF-DF973DEAEF4C,Nomadic Camp,ARCH-SETTLEMENT,,1,temporary/mobile configuration,mapped
