dataset,source_row,record_id,name,source_pdf,source_page,source_section,reasons
expanded_symbiotes_and_cybernetics_all_genres.csv,55,,Nanobot Repair System,Cybernetics(2).PDF,,,amount-not-specified
expanded_symbiotes_and_cybernetics_all_genres.csv,57,,Energy Absorber,Cybernetics(2).PDF,,,amount-not-specified
magic_arcane_and_faction_ability_trees_catalog.csv,20,ABL5-00019,Devastating Blows,Abilities- Magic & Arcane Specializations(2).PDF,6,Destruction Magic Specialization — Example Progression,missing-definition
magic_arcane_and_faction_ability_trees_catalog.csv,21,ABL5-00020,Controlled Blast,Abilities- Magic & Arcane Specializations(2).PDF,6,Destruction Magic Specialization — Example Progression,missing-definition
magic_arcane_and_faction_ability_trees_catalog.csv,22,ABL5-00021,Lingering Effects,Abilities- Magic & Arcane Specializations(2).PDF,6,Destruction Magic Specialization — Example Progression,missing-definition
magic_arcane_and_faction_ability_trees_catalog.csv,23,ABL5-00022,Efficient Overload,Abilities- Magic & Arcane Specializations(2).PDF,6,Destruction Magic Specialization — Example Progression,missing-definition
magic_arcane_and_faction_ability_trees_catalog.csv,24,ABL5-00023,Overwhelming Force,Abilities- Magic & Arcane Specializations(2).PDF,6,Destruction Magic Specialization — Example Progression,missing-definition
magic_arcane_and_faction_ability_trees_catalog.csv,25,ABL5-00024,Chain Reaction,Abilities- Magic & Arcane Specializations(2).PDF,6,Destruction Magic Specialization — Example Progression,missing-definition
magic_arcane_and_faction_ability_trees_catalog.csv,26,ABL5-00025,Anti-Magic Burst,Abilities- Magic & Arcane Specializations(2).PDF,6,Destruction Magic Specialization — Example Progression,missing-definition
magic_arcane_and_faction_ability_trees_catalog.csv,27,ABL5-00026,Cataclysmic Overload,Abilities- Magic & Arcane Specializations(2).PDF,6,Destruction Magic Specialization — Example Progression,missing-definition
magic_arcane_and_faction_ability_trees_catalog.csv,99,ABL5-00098,Necrotic Awakening,Shamanism and Voodoo v2(1).PDF,29,Voodoo Ability Tree — Tier 3,amount-not-specified
magic_arcane_and_faction_ability_trees_catalog.csv,118,ABL5-00117,Warden Faction Ability Trees (Source Reference Only),The Wardens(2).PDF,12,Faction Special Abilities,missing-definition
magic_arcane_and_faction_ability_trees_catalog.csv,119,ABL5-00118,No published WarDogs ability tree found,WarDogs(2).PDF,1,Whole-document ability-tree scope audit,missing-definition
prestige_environment_and_special_ability_trees_catalog.csv,886,ABL3-00885,Unproficient,Weapon Proficiency(4).PDF,1,Proficiency Levels,missing-definition
prestige_environment_and_special_ability_trees_catalog.csv,887,ABL3-00886,Proficient,Weapon Proficiency(4).PDF,1,Proficiency Levels,missing-definition
prestige_environment_and_special_ability_trees_catalog.csv,888,ABL3-00887,Expertise,Weapon Proficiency(4).PDF,1,Proficiency Levels,missing-definition
prestige_environment_and_special_ability_trees_catalog.csv,889,ABL3-00888,Mastery,Weapon Proficiency(4).PDF,1,Proficiency Levels,missing-definition
profession_and_crafting_ability_trees_catalog.csv,14,ABL4-00013,Precision Stabilization,Alchemy(4).PDF,14,Alchemy Ability/Perk Tree — Tier 3,missing-definition
species_elementalist_and_innate_abilities_catalog.csv,33,ABLREC-00032,Bone Crusher,Species Perks(1)(2).PDF,8,Species Perks > Orcs,amount-not-specified
species_elementalist_and_innate_abilities_catalog.csv,336,ABLREC-00335,Lingering Flames,Elementalist Trees(3).PDF,7,Elementalist Trees > Fire > Infernal Manipulation > Tier 2,amount-not-specified
species_elementalist_and_innate_abilities_catalog.csv,534,ABLREC-00533,Energized Assault,Elementalist Trees(3).PDF,20,Elementalist Trees > Electricity > Energy Conduction > Tier 4,amount-not-specified
species_elementalist_and_innate_abilities_catalog.csv,953,ABLREC-00952,Echoing Strike,Elementalist Trees(3).PDF,44,Elementalist Trees > Air > Sound and Vibration Manipulation > Tier 2,amount-not-specified
species_elementalist_and_innate_abilities_catalog.csv,958,ABLREC-00957,Harmonic Weapon,Elementalist Trees(3).PDF,45,Elementalist Trees > Air > Sound and Vibration Manipulation > Tier 3,amount-not-specified
