Authority_ID,Source,Source_Item,Classification,Current_Operation,Current_Path_or_Boundary,Rationale
HIST-001,HISTORICAL_55_PATH_PLAN,packages/contracts/src/inventory-equipment/asset-instance-port.ts,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/inventory-equipment/asset-instance-port.ts,"Keep live Item/Asset instance distinct from reusable Item Definition; A8 owns instance state, not definition mechanics."
HIST-002,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/shared-asset-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/shared-asset-port.ts,Keep D27 shared Asset instance/source snapshot/lineage authority.
HIST-003,HISTORICAL_55_PATH_PLAN,schemas/domains/inventory-equipment/asset-instance*.schema.json,ADOPT_SUPPLEMENT,CREATE,schemas/domains/inventory-equipment/asset-instance*.schema.json,Split definition references from live inventory instance state explicitly.
HIST-004,HISTORICAL_55_PATH_PLAN,schemas/domains/shared-assets/shared-asset*.schema.json,ADOPT_SUPPLEMENT,CREATE,schemas/domains/shared-assets/shared-asset*.schema.json,Split reusable model/definition references from live shared Asset state explicitly.
HIST-005,HISTORICAL_55_PATH_PLAN,database/migrations/<next>_a8_asset_foundations.json,MODIFY_BOUNDED,CREATE,database/migrations/0006_a8_asset_foundations.json,Replace stale wildcard with exact additive 0006 after implemented 0005 A7 migration; no shared cross-domain source-of-truth table.
HIST-006,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/asset-authority-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/asset-authority-port.ts,A8-specific relation authority remains required; compose current A3/A4 authorization/control seams.
HIST-007,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/asset-location-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/asset-location-port.ts,Custody/possession/location transitions remain A8 work.
HIST-008,HISTORICAL_55_PATH_PLAN,packages/contracts/src/authority-control/**,CONFLICT_REQUIRES_REDESIGN,REUSE_CONTEXT,packages/contracts/src/authority-control/**,"D04 root remains a placeholder, not an implemented runtime dependency; compose current A3/A4 seams and retain D04 as conceptual ownership only."
HIST-009,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/containment-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/containment-port.ts,Acyclic containment and hidden-aggregate filtering remain required.
HIST-010,HISTORICAL_55_PATH_PLAN,packages/contracts/src/inventory-equipment/quantity-lot-stack-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/inventory-equipment/quantity-lot-stack-port.ts,Quantity/lot/stack lineage remains required; unknown is not zero and visual similarity is not fungibility.
HIST-011,HISTORICAL_55_PATH_PLAN,packages/contracts/src/inventory-equipment/inventory-projection-port.ts,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/inventory-equipment/inventory-projection-port.ts,Authorization and setting/context filtering precede counts/totals/value/capacity/search/recommendation output.
HIST-012,HISTORICAL_55_PATH_PLAN,apps/client-ui/src/a8/inventory/**,ADOPT_CURRENT,CREATE,apps/client-ui/src/a8/inventory/**,Inventory/equipment surfaces remain required and must label Definition versus Instance state.
HIST-013,HISTORICAL_55_PATH_PLAN,packages/contracts/src/inventory-equipment/equipment-assignment-port.ts,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/inventory-equipment/equipment-assignment-port.ts,Equipment state never transfers ownership; CAPP-06 remains presentation-only consumer.
HIST-014,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/asset-reservation-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/asset-reservation-port.ts,Durable bounded attributable reservations remain required.
HIST-015,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/combat-asset-adapter.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/combat-asset-adapter.ts,A6/A7 accepted-result integration remains required; denied/precommit-failed Actions spend nothing.
HIST-016,HISTORICAL_55_PATH_PLAN,packages/contracts/src/a4/**,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/a4/**,A4 Character lifecycle/control/version/Resource/Condition seams are now implemented.
HIST-017,HISTORICAL_55_PATH_PLAN,packages/contracts/src/a6/**,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/a6/**,A6 Action proposal/decision/status/atomic-result seams are now implemented.
HIST-018,HISTORICAL_55_PATH_PLAN,packages/contracts/src/a7/**,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/a7/**,A7 combat timing/position/result/recovery seams are now implemented.
HIST-019,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/asset-transfer-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/asset-transfer-port.ts,Dimension-specific transfer/lend/share receipts remain A8 work.
HIST-020,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/shop-trade-adapter.ts,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/shared-assets/shop-trade-adapter.ts,Keep offer/availability metadata separate from authoritative economic valuation/accepted transaction context.
HIST-021,HISTORICAL_55_PATH_PLAN,apps/client-ui/src/a8/transfers/**,ADOPT_CURRENT,CREATE,apps/client-ui/src/a8/transfers/**,Transfer/lending/trade UI remains bounded A8 presentation.
HIST-022,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/asset-damage-repair-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/asset-damage-repair-port.ts,Profile-driven damage/durability/repair history remains required; zero durability is not universal deletion.
HIST-023,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/craft-salvage-asset-adapter.ts,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/shared-assets/craft-salvage-asset-adapter.ts,A8 owns Asset reservation/transformation/output lineage; long-running Project timing/research remains external/deferred.
HIST-024,HISTORICAL_55_PATH_PLAN,packages/contracts/src/downtime-projects/**,DEFER,REUSE_CONTEXT,packages/contracts/src/downtime-projects/**,D26/F018 root is still a placeholder. A8 may carry opaque work-order references but must not implement the long-running Project scheduler inside A8.
HIST-025,HISTORICAL_55_PATH_PLAN,apps/client-ui/src/a8/crafting/**,ADOPT_CURRENT,CREATE,apps/client-ui/src/a8/crafting/**,Bounded recipe/input/reservation/output/salvage surface remains in A8; no Project scheduler.
HIST-026,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/asset-status-reconnect-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/asset-status-reconnect-port.ts,A8-specific reservation/transfer/craft/station/resource reconciliation remains required.
HIST-027,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/asset-history-export-port.ts,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/shared-assets/asset-history-export-port.ts,History/export must preserve provenance/source-state and filter hidden contextual/Asset facts before aggregation.
HIST-028,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/asset-pack-lifecycle-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/asset-pack-lifecycle-port.ts,Snapshot/tombstone/entitlement continuity remains required.
HIST-029,HISTORICAL_55_PATH_PLAN,packages/contracts/src/session/checkpoint-reconnect-restoration.ts,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/session/checkpoint-reconnect-restoration.ts,Current checkpoint/replay recovery is implemented and composes under A8 status reconciliation.
HIST-030,HISTORICAL_55_PATH_PLAN,apps/client-ui/src/a8/a8.a11y.test.tsx,ADOPT_CURRENT,CREATE,apps/client-ui/src/a8/a8.a11y.test.tsx,Accessible keyboard/touch/screen-reader/high-zoom/non-drag parity remains required.
HIST-031,HISTORICAL_55_PATH_PLAN,fixtures/domains/inventory-equipment/a8/**,ADOPT_CURRENT,CREATE,fixtures/domains/inventory-equipment/a8/**,Retain deterministic AST fixtures in D17 plus supplemental Definition/Instance/context cases.
HIST-032,HISTORICAL_55_PATH_PLAN,fixtures/domains/shared-assets/a8/**,ADOPT_CURRENT,CREATE,fixtures/domains/shared-assets/a8/**,Retain AST/VEH/CAIR fixtures in D27 plus supplemental Model/Asset/context cases.
HIST-033,HISTORICAL_55_PATH_PLAN,tests/golden/domains/inventory-equipment/a8/**,ADOPT_CURRENT,CREATE,tests/golden/domains/inventory-equipment/a8/**,D17 golden coverage remains required.
HIST-034,HISTORICAL_55_PATH_PLAN,tests/golden/domains/shared-assets/a8/**,ADOPT_CURRENT,CREATE,tests/golden/domains/shared-assets/a8/**,D27/vehicle/cross-domain golden coverage remains required.
HIST-035,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/vehicle-profile-port.ts,CONFLICT_REQUIRES_REDESIGN,SUPERSEDE_PLAN,packages/contracts/src/shared-assets/vehicle-asset-port.ts,Replace ambiguous profile/instance contract with a live `vehicle-asset-port.ts`; reusable Vehicle/Platform Model remains D07/A2 definition authority.
HIST-036,HISTORICAL_55_PATH_PLAN,schemas/domains/shared-assets/vehicle*.schema.json,ADOPT_SUPPLEMENT,CREATE,schemas/domains/shared-assets/vehicle*.schema.json,Vehicle schemas must distinguish Model/Definition references from individual Vehicle Asset and installed/live state.
HIST-037,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/vehicle-crew-station-port.ts,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/shared-assets/vehicle-crew-station-port.ts,Crew/station/controller grants remain separate from ownership/custody and use current subject/delegation authority.
HIST-038,HISTORICAL_55_PATH_PLAN,apps/client-ui/src/a8/vehicles/StationRoster.tsx,ADOPT_CURRENT,CREATE,apps/client-ui/src/a8/vehicles/StationRoster.tsx,Accessible station/controller surface remains required.
HIST-039,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/vehicle-movement-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/vehicle-movement-port.ts,Semantic movement/navigation/docking authority remains required and composes A7 semantic position.
HIST-040,HISTORICAL_55_PATH_PLAN,apps/client-ui/src/a8/vehicles/SemanticVehicleMovement.tsx,ADOPT_CURRENT,CREATE,apps/client-ui/src/a8/vehicles/SemanticVehicleMovement.tsx,Non-drag semantic vehicle movement remains required.
HIST-041,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/vehicle-system-resource-port.ts,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/shared-assets/vehicle-system-resource-port.ts,Installed systems and current Resources remain Vehicle Asset state; unknown capacities stay unknown.
HIST-042,HISTORICAL_55_PATH_PLAN,apps/client-ui/src/a8/vehicles/VehicleSystems.tsx,ADOPT_CURRENT,CREATE,apps/client-ui/src/a8/vehicles/VehicleSystems.tsx,System/resource readiness presentation remains required.
HIST-043,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/vehicle-action-adapter.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/vehicle-action-adapter.ts,Vehicle Actions continue through current A6/A7 authority with atomic Resource cost/result.
HIST-044,HISTORICAL_55_PATH_PLAN,apps/client-ui/src/a8/vehicles/VehicleActionContext.tsx,ADOPT_CURRENT,CREATE,apps/client-ui/src/a8/vehicles/VehicleActionContext.tsx,Station-scoped A6/A7 Action context remains required.
HIST-045,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/vehicle-damage-capture-port.ts,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/shared-assets/vehicle-damage-capture-port.ts,Damage/capture/salvage preserves Vehicle Asset identity/model reference/provenance; carrier damage never mutates nested Assets implicitly.
HIST-046,HISTORICAL_55_PATH_PLAN,fixtures/domains/shared-assets/a8/vehicle-damage/**,ADOPT_CURRENT,CREATE,fixtures/domains/shared-assets/a8/vehicle-damage/**,Damage/boarding/carried-craft/capture fixtures remain required.
HIST-047,HISTORICAL_55_PATH_PLAN,packages/contracts/src/shared-assets/asset-operation-status-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/shared-assets/asset-operation-status-port.ts,Original operation status before retry remains required.
HIST-048,HISTORICAL_55_PATH_PLAN,packages/contracts/src/session/ordered-realtime-event-delivery.ts,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/session/ordered-realtime-event-delivery.ts,Current durable ordering/gap detection is implemented.
HIST-049,HISTORICAL_55_PATH_PLAN,packages/contracts/src/observability/structured-audit-telemetry.ts,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/observability/structured-audit-telemetry.ts,Privacy-bounded audit metadata is implemented.
HIST-050,HISTORICAL_55_PATH_PLAN,apps/client-ui/src/a8/vehicles/VehicleOperations.tsx,ADOPT_CURRENT,CREATE,apps/client-ui/src/a8/vehicles/VehicleOperations.tsx,Accessible Player/GM vehicle operations remain required.
HIST-051,HISTORICAL_55_PATH_PLAN,apps/client-ui/src/a8/a8.css,ADOPT_CURRENT,CREATE,apps/client-ui/src/a8/a8.css,Use current design-system tokens and intrinsically responsive layouts.
HIST-052,HISTORICAL_55_PATH_PLAN,apps/client-ui/src/App.tsx,ADOPT_CURRENT,MODIFY_BOUNDED,apps/client-ui/src/App.tsx,Bounded A8 entry only after fresh authorization and A8 runtime construction.
HIST-053,HISTORICAL_55_PATH_PLAN,tools/verify_stage_a_a8.py,ADOPT_SUPPLEMENT,CREATE,tools/verify_stage_a_a8.py,Verifier must cover AST/VEH/CAIR plus supplemental 24-row authority and current predecessors.
HIST-054,HISTORICAL_55_PATH_PLAN,.github/workflows/validate-stage-a-a8-assets-vehicles.yml,ADOPT_SUPPLEMENT,CREATE,.github/workflows/validate-stage-a-a8-assets-vehicles.yml,Focused exact-head A8 CI must include supplemental seam and predecessor regressions; no deployment.
HIST-055,HISTORICAL_55_PATH_PLAN,docs/evidence/stage-a-a8/**,ADOPT_CURRENT,CREATE,docs/evidence/stage-a-a8/**,"Package/final evidence remains completion evidence, not activation by itself."
A8S-001,A8_R0_SUPPLEMENTAL_MATRIX,Item Definition / Instance separation,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/inventory-equipment/asset-instance-port.ts,A8 owns live instances; A2/D07 reusable definitions remain separate.
A8S-002,A8_R0_SUPPLEMENTAL_MATRIX,Vehicle Model / Instance separation,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/shared-assets/vehicle-asset-port.ts,D27 owns individual Vehicle Asset state; reusable model uses A2/D07 catalog identity.
A8S-003,A8_R0_SUPPLEMENTAL_MATRIX,Product identity ladder,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/entity-catalog/product-identity-port.ts,D07 shared catalog seam; no name-based merge.
A8S-004,A8_R0_SUPPLEMENTAL_MATRIX,Shared Creator Entity,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/entity-catalog/creator-origin-port.ts,Creator/manufacturer/culture/origin reference is shared catalog metadata and not automatically a Faction.
A8S-005,A8_R0_SUPPLEMENTAL_MATRIX,Shared content context,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/entity-catalog/content-context-port.ts,One D07/shared provider-neutral nine-facet seam; preserve 241 source registry machine IDs.
A8S-006,A8_R0_SUPPLEMENTAL_MATRIX,Intrinsic / affinity / compatibility separation,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/entity-catalog/compatibility-evaluation-port.ts,Do not collapse contextual affinity into intrinsic requirement or compatibility outcome.
A8S-007,A8_R0_SUPPLEMENTAL_MATRIX,Setting context adapter,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/entity-catalog/content-context-port.ts,Unknown/unavailable context is valid; A8 does not invent world metaphysics.
A8S-008,A8_R0_SUPPLEMENTAL_MATRIX,Provenance/source state seam,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/authoring-provenance/source-state-reference-port.ts,Read-only source/current/legacy/authored/unresolved/remechanization classification seam.
A8S-009,A8_R0_SUPPLEMENTAL_MATRIX,Economy boundary,ADOPT_SUPPLEMENT,CREATE,packages/contracts/src/shared-assets/shop-trade-adapter.ts,A8 carries availability/restriction/market context but not universal authoritative price/value truth.
A8S-010,A8_R0_SUPPLEMENTAL_MATRIX,Current mechanics protection,ADOPT_CURRENT,REUSE,packages/contracts/src/a2/object-contracts.ts,Current governed definition mechanics remain authoritative; legacy mechanics are provenance only.
A8S-011,A8_R0_SUPPLEMENTAL_MATRIX,Product lineage,ADD_DORMANT,CREATE,packages/contracts/src/entity-catalog/product-lineage-port.ts,Additive read-only predecessor/successor/derivative metadata; default dormant.
A8S-012,A8_R0_SUPPLEMENTAL_MATRIX,Creator catalog browse,ADD_DORMANT,CREATE,packages/contracts/src/entity-catalog/creator-origin-port.ts,Read-only browse metadata; does not grant authoring/runtime mutation authority.
A8S-013,A8_R0_SUPPLEMENTAL_MATRIX,Production/market history,ADD_DORMANT,CREATE,packages/contracts/src/entity-catalog/market-context-metadata-port.ts,Availability/service/parts/production history metadata; not price authority.
A8S-014,A8_R0_SUPPLEMENTAL_MATRIX,Coverage analyzers,DEFER,N/A,NO_A8_RUNTIME_PATH,Preparation/read-only analytics are not required for A8 alpha runtime.
A8S-015,A8_R0_SUPPLEMENTAL_MATRIX,Legacy remechanization queue,ADD_DORMANT,CREATE,packages/contracts/src/authoring-provenance/remechanization-candidate-reference.ts,Read-only queue references only; 326 Platform + 54 Item concepts require current-rule review before promotion.
A8S-016,A8_R0_SUPPLEMENTAL_MATRIX,Full Reality topology,DEFER,N/A,NO_A8_RUNTIME_PATH,Full 44-type Reality/Place topology remains later World/Reality scope.
A8S-017,A8_R0_SUPPLEMENTAL_MATRIX,Reality laws,DEFER,N/A,NO_A8_RUNTIME_PATH,Metaphysics/law authoring remains later World/Reality scope.
A8S-018,A8_R0_SUPPLEMENTAL_MATRIX,Community world features,DEFER,N/A,NO_A8_RUNTIME_PATH,Discovery/follow/bookmark/social/moderation/remix remain deferred.
A8S-019,A8_R0_SUPPLEMENTAL_MATRIX,Campaign setting state,PROHIBIT_DUPLICATION,REUSE,packages/contracts/src/a5/launch-snapshot-port.ts,A8 consumes effective authorized Campaign/Session context and may not duplicate it.
A8S-020,A8_R0_SUPPLEMENTAL_MATRIX,World definition,PROHIBIT_DUPLICATION,REUSE,domains/worlds-locations-maps/BOUNDARY.md,D18/PPIA-12 owns world/location truth; A8 only consumes context seam.
A8S-021,A8_R0_SUPPLEMENTAL_MATRIX,Item core definition,PROHIBIT_DUPLICATION,REUSE,packages/contracts/src/a2/object-contracts.ts,A2/D07 definition identity/mechanics remain authoritative; A8 owns live inventory state.
A8S-022,A8_R0_SUPPLEMENTAL_MATRIX,Vehicle core definition,PROHIBIT_DUPLICATION,REUSE,packages/contracts/src/a2/object-contracts.ts,Reusable Vehicle Model/Definition remains catalog/object authority; A8/D27 owns individual Vehicle Asset state.
A8S-023,A8_R0_SUPPLEMENTAL_MATRIX,Hidden information,REUSE_IMPLEMENTED,WRAP,packages/contracts/src/session/hidden-information-response-filter.ts,Reuse authorization pattern but wrap aggregate cardinality/existence leakage before A8 counts/search/export/AI.
A8S-024,A8_R0_SUPPLEMENTAL_MATRIX,Recovery/concurrency,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/session/checkpoint-reconnect-restoration.ts,"Compose operation id, expected version, idempotency and reconnect; broad offline authoritative mutation remains prohibited."
